"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"1-1",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",6,NA,"Depredated","01101705A3","1.10E+75","M"
"1-1",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",6,NA,"Depredated","0700ED990E","","F"
"1",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","M"
"1",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","F"
"2-1",2019,"H","18-Jun-19","23-Jun-19","5-Jul-19","6-Jul-19","13-Jul-19","21-Jul-19",6,6,"Success","0700EDBFAD","","M"
"2-1",2019,"H","18-Jun-19","23-Jun-19","5-Jul-19","6-Jul-19","13-Jul-19","21-Jul-19",6,6,"Success","0110179A53","","F"
"3-2",2019,"H","2-Jun-19","9-Jun-19","21-Jun-19","","","",7,NA,"Depredated","UNKNOWN","","M"
"3-2",2019,"H","2-Jun-19","9-Jun-19","21-Jun-19","","","",7,NA,"Depredated","0700EDC782","","F"
"5",2019,"H","10-Jun-19","20-Jun-19","2-Jul-19","3-Jul-19","10-Jul-19","18-Jul-19",5,5,"Success","0700EDD82A","030001F664","M"
"5",2019,"H","10-Jun-19","20-Jun-19","2-Jul-19","3-Jul-19","10-Jul-19","18-Jul-19",5,5,"Success","01101796AE","","F"
"6",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","M"
"6",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","F"
"10",2019,"H","9-Jun-19","15-Jun-19","27-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",7,7,"Success","0700EE2693","030001F885","M"
"10",2019,"H","9-Jun-19","15-Jun-19","27-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",7,7,"Success","0700ED9998","","F"
"15",2019,"H","6-Jun-19","14-Jun-19","26-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",7,6,"Success","110172346","011017A327","M"
"15",2019,"H","6-Jun-19","14-Jun-19","26-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",7,6,"Success","0700EDD2A3","","F"
"17",2019,"H","4-Jun-19","10-Jun-19","22-Jun-19","21-Jun-19","28-Jun-19","6-Jul-19",6,3,"Success","0110173D14","01101798A9","M"
"17",2019,"H","4-Jun-19","10-Jun-19","22-Jun-19","21-Jun-19","28-Jun-19","6-Jul-19",6,3,"Success","0700EDDF34","","F"
"17-2",2019,"H","6-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,2,"Success","0700EE0329","","M"
"17-2",2019,"H","6-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,2,"Success","0700ED9947","","F"
"18-3",2019,"H","11-Jun-19","27-Jun-19","9-Jul-19","10-Jul-19","17-Jul-19","25-Jul-19",4,4,"Success","0700EE20B2","0700EE3582","M"
"18-3",2019,"H","11-Jun-19","27-Jun-19","9-Jul-19","10-Jul-19","17-Jul-19","25-Jul-19",4,4,"Success","0700EE0395","","F"
"21-1",2019,"H","9-Jun-19","15-Jun-19","27-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",7,5,"Success","0700EE4300","","M"
"21-1",2019,"H","9-Jun-19","15-Jun-19","27-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",7,5,"Success","0700ED9084","","F"
"22B",2019,"H","5-Jun-19","16-Jun-19","28-Jun-19","1-Jul-19","8-Jul-19","16-Jul-19",5,4,"Success","UNKNOWN","","M"
"22B",2019,"H","5-Jun-19","16-Jun-19","28-Jun-19","1-Jul-19","8-Jul-19","16-Jul-19",5,4,"Success","0700EE2E31","","F"
"22B-2",2019,"H","5-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",8,8,"Success","0700EDB225","","M"
"22B-2",2019,"H","5-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",8,8,"Success","011016BD62","","F"
"24-1",2019,"H","4-Jun-19","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",7,7,"Success","0700EDF64A","","M"
