"Year","Date","Elevation","Nest","Nest.type","ID","Blood.ID","Mass..g.","AS.Right..mm.","AS.Left..mm.","Notes","RFID","OLD_RFID","P_sex"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13001","LF986",12.11,17.7,16.05,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13001","LF986",12.11,17.7,16.05,NA,"0700EE35D4","","F"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13002","LF987",13.41,14.62,17.58,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13002","LF987",13.41,14.62,17.58,NA,"0700EE35D4","","F"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13003","LF988",11.82,18.73,18.62,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13003","LF988",11.82,18.73,18.62,NA,"0700EE35D4","","F"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13004","LF991",12.34,19.63,20.49,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13004","LF991",12.34,19.63,20.49,NA,"0700EE35D4","","F"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13005","LF990",12.95,16.91,17.23,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13005","LF990",12.95,16.91,17.23,NA,"0700EE35D4","","F"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13006","LF989",12.42,17.51,17.15,NA,"0700EE023F","","M"
2018,"Fri Jun 15 00:00:00 PDT 2018","L","40L","INITIAL","2820-13006","LF989",12.42,17.51,17.15,NA,"0700EE35D4","","F"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13007","LF992",10.65,12.39,12.73,NA,"0700EDD973","","M"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13007","LF992",10.65,12.39,12.73,NA,"0700EDDCBB","","F"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13008","LF993",12.44,19.41,19.33,NA,"0700EDD973","","M"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13008","LF993",12.44,19.41,19.33,NA,"0700EDDCBB","","F"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13009","LF994",10.98,16.27,14.45,"Ectoparasite on chick","0700EDD973","","M"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13009","LF994",10.98,16.27,14.45,"Ectoparasite on chick","0700EDDCBB","","F"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13010","LF995",11.54,14.97,16.84,NA,"0700EDD973","","M"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13010","LF995",11.54,14.97,16.84,NA,"0700EDDCBB","","F"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13011","LF996",11.82,15.08,14.61,"Ectoparasite on chick","0700EDD973","","M"
2018,"Sat Jun 16 00:00:00 PDT 2018","L","25-2L","INITIAL","2820-13011","LF996",11.82,15.08,14.61,"Ectoparasite on chick","0700EDDCBB","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13012","LF997",11.6,14,16,NA,"0700EE38F7","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13012","LF997",11.6,14,16,NA,"0700EDE84B","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13013","LF998",12.28,16,18,NA,"0700EE38F7","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13013","LF998",12.28,16,18,NA,"0700EDE84B","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13014","LF999",12.64,15.5,15.5,NA,"0700EE38F7","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","32-1L","INITIAL","2820-13014","LF999",12.64,15.5,15.5,NA,"0700EDE84B","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13015","LF1000",12.5,15,15,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13015","LF1000",12.5,15,15,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13016","LF1001",12.27,12,12,NA,"0700EE28B9","","M"
