Collector (PI),Old_specimen_ID,SpecimenID,Genus,Species,order,sex,mass (g),Date,Year,Country,Department,Municipio,Locality,Locality_ID,elevation,Elevation_key,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,1,1,Chloroceryle,inda,Coraciiformes,U,52,11/16/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,I8",2,0,0,0,0
GAL,2,2,Turdus,ignobilis,Passeriformes,U,45.8,10/28/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,G2",30,0,0,0,0
GAL,2,3,Ramphocelus,carbo,Passeriformes,U,23,3/27/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,G6",4,0,0,0,0
GAL,2,4,Chloroceryle,aenea,Coraciiformes,U,12.75,3/27/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"E1,J8",0,0,0,0,0
GAL,2,5,Coccycua,minuta,Cuculiformes,U,34,3/27/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"E1,J10",0,0,0,0,0
GAL,2,6,Chloroceryle,aenea,Coraciiformes,U,12.75,3/27/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"E1,J8,P2,H4",3,0,0,0,0
GAL,2,7,Turdus,ignobilis,Passeriformes,U,45.8,10/28/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,G2,P2,J4",30,0,0,0,0
GAL,3,8,Dendroplex,picus,Passeriformes,U,35,8/5/2014,2014,Colombia,Meta,Villavicencio,Villavicencio,3,400,2,YES,powder,Universidad Icesi,"E1,H4",0,0,6,0,0
GAL,3,9,Ramphocelus,carbo,Passeriformes,U,21.95,10/29/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,H6",8,0,0,0,0
GAL,4,10,Ramphocelus,carbo,Passeriformes,U,22,3/8/2013,2013,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,200,3,YES,powder,Universidad Icesi,"P2,B5",8,0,0,0,0
GAL,6,11,Turdus,nudigenis,Passeriformes,U,59,3/10/2013,2013,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,200,3,YES,powder,Universidad Icesi,"P2,E6",9,0,0,0,0
GAL,6,12,Sturnella,militaris,Passeriformes,U,51,3/26/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"E1,J7",0,0,1,0,0
GAL,11,13,Piaya,cayana,Cuculiformes,U,95,3/10/2013,2013,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,200,3,YES,powder,Universidad Icesi,"P2,C5",16,0,0,0,0
GAL,19,14,Dendrocincla,fuliginosa,Passeriformes,U,33,5/5/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,200,3,YES,powder,Universidad Icesi,"E1,J3",0,5,0,0,0
GAL,20,15,Ramphocelus,carbo,Passeriformes,U,30,8/9/2014,2014,Colombia,Meta,Villavicencio,Villavicencio,3,400,2,YES,powder,Universidad Icesi,"P2,A4",4,0,0,0,0
GAL,20,16,Ramphocelus,carbo,Passeriformes,U,51,3/26/2015,2015,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,G8",4,0,0,0,0
GAL,21,17,Dendrocincla,fuliginosa,Passeriformes,U,43.5,8/6/2014,2014,Colombia,Meta,Villavicencio,Villavicencio,3,400,2,YES,powder,Universidad Icesi,"E1,H2",0,NA,0,0,0
GAL,21,18,Ramphocelus,carbo,Passeriformes,U,NA,8/9/2014,2014,Colombia,Meta,Villavicencio,Villavicencio,3,400,2,YES,powder,Universidad Icesi,"E1,H3",0,NA,0,0,0
GAL,21,19,Elaenia,flavogaster,Passeriformes,U,24,5/20/2014,2014,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,1,141,1,YES,powder,Universidad Icesi,"P2,G4",2,0,0,0,0
